Date & Time,Usage [kW]
1/24/2023 9:00,0.003155
1/24/2023 10:00,-0.712397222
1/24/2023 11:00,-1.374787778
1/24/2023 12:00,-2.661526667
1/24/2023 13:00,-2.508658333
1/24/2023 14:00,-5.478216667
1/24/2023 15:00,0.035564167
1/24/2023 16:00,-0.129919444
1/24/2023 17:00,-0.016847778
1/24/2023 18:00,-0.017005
1/24/2023 19:00,-0.017154167
1/24/2023 20:00,-0.017181389
1/24/2023 21:00,-0.047464444
1/24/2023 22:00,-0.184534444
1/24/2023 23:00,-0.017239167
1/25/2023 0:00,-0.098330556
1/25/2023 1:00,-0.020074167
1/25/2023 2:00,-0.017305556
1/25/2023 3:00,-0.017291944
1/25/2023 4:00,-0.017207222
1/25/2023 5:00,-4.473851389
1/25/2023 6:00,-6.559285556
1/25/2023 7:00,-1.282669444
1/25/2023 8:00,0.01118
1/25/2023 9:00,-0.002196667
1/25/2023 10:00,-4.390679722
1/25/2023 11:00,-4.650923611
1/25/2023 12:00,-3.524683611
1/25/2023 13:00,-0.034729167
1/25/2023 14:00,0.09879
1/25/2023 15:00,0.045901944
1/25/2023 16:00,-0.148167222
1/25/2023 17:00,-0.015303889
1/25/2023 18:00,-0.016891389
1/25/2023 19:00,-0.01699
1/25/2023 20:00,-0.017082778
1/25/2023 21:00,-0.0171025
1/25/2023 22:00,-0.017118333
1/25/2023 23:00,-0.017113611
1/26/2023 0:00,-0.017137222
1/26/2023 1:00,-0.017171667
1/26/2023 2:00,-0.017625
1/26/2023 3:00,-0.017235556
1/26/2023 4:00,-0.017170278
1/26/2023 5:00,-2.991170833
1/26/2023 6:00,-3.423368889
1/26/2023 7:00,-3.441298889
1/26/2023 8:00,-2.135822222
1/26/2023 9:00,-0.062328889
1/26/2023 10:00,-0.0266875
1/26/2023 11:00,-0.075392222
1/26/2023 12:00,-0.196830833
1/26/2023 13:00,-0.186616389
1/26/2023 14:00,0.051463889
1/26/2023 15:00,0.046288333
1/26/2023 16:00,0.014218611
1/26/2023 17:00,-0.016901389
1/26/2023 18:00,-0.017021944
1/26/2023 19:00,-0.017166944
1/26/2023 20:00,-0.017252222
1/26/2023 21:00,-0.017184444
1/26/2023 22:00,-0.017246944
1/26/2023 23:00,-0.017285278
1/27/2023 0:00,-0.017315833
1/27/2023 1:00,-0.017304444
1/27/2023 2:00,-0.017333611
1/27/2023 3:00,-0.017308889
1/27/2023 4:00,-0.01727
1/27/2023 5:00,-1.470249167
1/27/2023 6:00,-3.490552222
1/27/2023 7:00,-3.456722222
1/27/2023 8:00,-2.682101389
1/27/2023 9:00,-0.113731389
1/27/2023 10:00,-0.037018611
1/27/2023 11:00,-0.273429722
1/27/2023 12:00,-5.312125
1/27/2023 13:00,-3.063643889
1/27/2023 14:00,-2.235541389
1/27/2023 15:00,0.112000833
